t_ms,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
0,0.01811,-1.57489,0.05469,-1.49726,0.09127,-1.41963,0.12785,-1.34199,0.16524,-1.25984,0.20264,-1.17769,0.24003,-1.09553,0.27900,-1.01845,0.31797,-0.94137,0.35694,-0.86429,0.39788,-0.78714,0.43882,-0.70999,0.47976,-0.63284,0.52070,-0.56375,0.56164,-0.49466,0.60258,-0.42556,0.64352,-0.36671,0.68446,-0.30786,0.72539,-0.24900,0.76633,-0.20257,0.80726,-0.15613,0.84819,-0.10970,0.88901,-0.07937,0.92983,-0.04905,0.97065,-0.01872
5,0.01819,-1.56640,0.05476,-1.48931,0.09133,-1.41222,0.12790,-1.33512,0.16531,-1.25352,0.20272,-1.17192,0.24013,-1.09031,0.27909,-1.01372,0.31805,-0.93712,0.35700,-0.86052,0.39794,-0.78381,0.43887,-0.70709,0.47981,-0.63038,0.52074,-0.56162,0.56168,-0.49287,0.60261,-0.42412,0.64355,-0.36551,0.68448,-0.30690,0.72542,-0.24829,0.76635,-0.20201,0.80727,-0.15573,0.84820,-0.10945,0.88902,-0.07920,0.92984,-0.04894,0.97066,-0.01869
10,0.01828,-1.52652,0.05483,-1.45139,0.09138,-1.37625,0.12792,-1.30112,0.16537,-1.22157,0.20282,-1.14202,0.24027,-1.06248,0.27920,-0.98784,0.31813,-0.91320,0.35706,-0.83856,0.39799,-0.76380,0.43892,-0.68904,0.47985,-0.61428,0.52078,-0.54728,0.56171,-0.48028,0.60264,-0.41329,0.64358,-0.35618,0.68451,-0.29906,0.72544,-0.24195,0.76637,-0.19686,0.80729,-0.15176,0.84822,-0.10667,0.88903,-0.07718,0.92984,-0.04770,0.97066,-0.01821
15,0.01836,-1.48666,0.05489,-1.41348,0.09142,-1.34030,0.12795,-1.26713,0.16544,-1.18964,0.20293,-1.11215,0.24042,-1.03466,0.27931,-0.96197,0.31821,-0.88929,0.35711,-0.81660,0.39804,-0.74380,0.43897,-0.67099,0.47989,-0.59819,0.52082,-0.53295,0.56175,-0.46770,0.60268,-0.40246,0.64361,-0.34685,0.68454,-0.29123,0.72546,-0.23562,0.76639,-0.19171,0.80731,-0.14780,0.84823,-0.10389,0.88904,-0.07517,0.92985,-0.04645,0.97066,-0.01774
20,0.01845,-1.44683,0.05496,-1.37560,0.09147,-1.30438,0.12797,-1.23316,0.16550,-1.15773,0.20303,-1.08229,0.24056,-1.00685,0.27943,-0.93612,0.31830,-0.86540,0.35717,-0.79467,0.39809,-0.72382,0.43901,-0.65296,0.47994,-0.58211,0.52086,-0.51862,0.56179,-0.45513,0.60271,-0.39164,0.64364,-0.33753,0.68456,-0.28341,0.72549,-0.22929,0.76641,-0.18656,0.80732,-0.14383,0.84824,-0.10111,0.88905,-0.07316,0.92986,-0.04521,0.97066,-0.01726
25,0.01854,-1.40703,0.05502,-1.33776,0.09151,-1.26850,0.12800,-1.19923,0.16556,-1.12585,0.20313,-1.05246,0.24070,-0.97908,0.27954,-0.91030,0.31838,-0.84153,0.35722,-0.77275,0.39814,-0.70385,0.43906,-0.63495,0.47998,-0.56605,0.52090,-0.50431,0.56182,-0.44257,0.60275,-0.38084,0.64367,-0.32821,0.68459,-0.27559,0.72551,-0.22297,0.76642,-0.18142,0.80734,-0.13988,0.84825,-0.09833,0.88906,-0.07115,0.92986,-0.04397,0.97067,-0.01679
30,0.01862,-1.36729,0.05509,-1.29997,0.09155,-1.23266,0.12802,-1.16534,0.16563,-1.09401,0.20323,-1.02267,0.24084,-0.95134,0.27965,-0.88451,0.31846,-0.81769,0.35728,-0.75086,0.39819,-0.68391,0.43911,-0.61696,0.48003,-0.55001,0.52094,-0.49002,0.56186,-0.43003,0.60278,-0.37004,0.64370,-0.31891,0.68462,-0.26778,0.72553,-0.21665,0.76644,-0.17629,0.80735,-0.13592,0.84826,-0.09555,0.88907,-0.06914,0.92987,-0.04273,0.97067,-0.01632
35,0.01871,-1.32760,0.05515,-1.26223,0.09160,-1.19687,0.12805,-1.13150,0.16569,-1.06221,0.20333,-0.99293,0.24098,-0.92364,0.27976,-0.85876,0.31855,-0.79388,0.35733,-0.72901,0.39824,-0.66400,0.43916,-0.59900,0.48007,-0.53399,0.52099,-0.47575,0.56190,-0.41751,0.60281,-0.35926,0.64373,-0.30963,0.68464,-0.25999,0.72556,-0.21035,0.76646,-0.17116,0.80737,-0.13197,0.84828,-0.09278,0.88907,-0.06714,0.92987,-0.04149,0.97067,-0.01585
40,0.01879,-1.28799,0.05522,-1.22456,0.09164,-1.16114,0.12807,-1.09772,0.16575,-1.03048,0.20344,-0.96323,0.24112,-0.89599,0.27987,-0.83306,0.31863,-0.77012,0.35738,-0.70719,0.39829,-0.64413,0.43920,-0.58106,0.48012,-0.51800,0.52103,-0.46150,0.56194,-0.40500,0.60285,-0.34850,0.64376,-0.30035,0.68467,-0.25221,0.72558,-0.20406,0.76648,-0.16604,0.80739,-0.12803,0.84829,-0.09002,0.88908,-0.06514,0.92988,-0.04026,0.97067,-0.01538
45,0.01888,-1.24845,0.05528,-1.18697,0.09169,-1.12549,0.12809,-1.06401,0.16582,-0.99880,0.20354,-0.93360,0.24126,-0.86839,0.27998,-0.80740,0.31871,-0.74641,0.35744,-0.68541,0.39835,-0.62429,0.43925,-0.56317,0.48016,-0.50204,0.52107,-0.44728,0.56197,-0.39252,0.60288,-0.33777,0.64379,-0.29110,0.68469,-0.24444,0.72560,-0.19777,0.76650,-0.16094,0.80740,-0.12410,0.84830,-0.08726,0.88909,-0.06314,0.92988,-0.03902,0.97068,-0.01491
