t_s,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48
533.370000,0.227667,0.220387,0.210897,0.199707,0.188127,0.176877,0.166027,0.154737,0.142337,0.127927,0.114637,0.102377,0.089477,0.076587,0.065917,0.059597,0.055037,0.052577,0.048427,0.043737,0.039247,0.038037,0.036947,0.034937,0.030867,0.026087,0.018447,0.008917,-0.001963,-0.013403,-0.024973,-0.037143,-0.049403,-0.062713,-0.076533,-0.091193,-0.106183,-0.121073,-0.136073,-0.150903,-0.164033,-0.176063,-0.187833,-0.199023,-0.209503,-0.220803,-0.231213,-0.241323,-0.255203,0.062081,0.073781,0.082681,0.090101,0.098611,0.107381,0.117161,0.125701,0.132581,0.135061,0.133361,0.128091,0.122231,0.114781,0.107061,0.096901,0.085511,0.071231,0.058751,0.046181,0.032901,0.017671,0.003841,-0.008959,-0.019679,-0.029689,-0.039599,-0.048279,-0.053939,-0.058649,-0.065769,-0.071729,-0.075989,-0.079359,-0.082139,-0.082699,-0.082459,-0.082459,-0.082359,-0.082289,-0.084289,-0.088619,-0.095379,-0.102669,-0.110479,-0.117649,-0.126969,-0.135199,-0.136379
533.400000,0.225947,0.221427,0.212697,0.202537,0.191527,0.180437,0.170067,0.159837,0.147507,0.134037,0.119287,0.104767,0.090987,0.080277,0.070277,0.062197,0.053847,0.048427,0.043187,0.040677,0.039557,0.040317,0.039407,0.034587,0.028217,0.021697,0.013627,0.003647,-0.006143,-0.016113,-0.026543,-0.038233,-0.050343,-0.063103,-0.076023,-0.090913,-0.106173,-0.121293,-0.136553,-0.151433,-0.164503,-0.176403,-0.188953,-0.200823,-0.211813,-0.222013,-0.232723,-0.243503,-0.257423,0.061819,0.069729,0.080629,0.089449,0.095019,0.101239,0.110379,0.120159,0.127389,0.131599,0.132389,0.130219,0.125979,0.119329,0.111649,0.102699,0.092089,0.079169,0.065489,0.051379,0.036759,0.021369,0.006529,-0.007171,-0.020431,-0.032621,-0.042921,-0.050931,-0.057391,-0.062051,-0.067191,-0.071671,-0.075421,-0.078781,-0.082071,-0.083131,-0.082781,-0.082781,-0.082431,-0.083481,-0.086431,-0.091361,-0.096051,-0.102391,-0.109861,-0.118531,-0.127621,-0.134481,-0.132461
533.430000,0.236965,0.226345,0.214635,0.202885,0.190865,0.178455,0.167715,0.157245,0.145755,0.131955,0.118225,0.104345,0.091305,0.080325,0.070045,0.061755,0.054225,0.048435,0.043605,0.040625,0.039285,0.038705,0.038245,0.035595,0.029825,0.023055,0.013895,0.003655,-0.006345,-0.015975,-0.028015,-0.042265,-0.055345,-0.066805,-0.078445,-0.091885,-0.107185,-0.120925,-0.134225,-0.148495,-0.162615,-0.174725,-0.186945,-0.199145,-0.210285,-0.221245,-0.233225,-0.245255,-0.258615,0.061166,0.068576,0.076556,0.085366,0.093176,0.100546,0.109436,0.118156,0.125256,0.129986,0.131386,0.129336,0.125386,0.119206,0.111326,0.102856,0.092086,0.079496,0.065786,0.051826,0.037126,0.022156,0.006966,-0.007964,-0.020834,-0.031654,-0.041024,-0.049394,-0.056484,-0.062644,-0.067674,-0.071444,-0.075194,-0.079994,-0.082234,-0.081484,-0.079164,-0.080344,-0.082464,-0.083364,-0.084584,-0.089354,-0.095164,-0.101064,-0.108154,-0.116524,-0.124934,-0.132734,-0.137304
533.470000,0.235418,0.223918,0.212008,0.202498,0.194258,0.183598,0.171478,0.161478,0.151418,0.141028,0.128428,0.115048,0.100348,0.086948,0.073438,0.061938,0.052588,0.047138,0.042048,0.039048,0.034858,0.031608,0.029218,0.027858,0.025388,0.021488,0.015798,0.007958,-0.001662,-0.012162,-0.024662,-0.037162,-0.050042,-0.063002,-0.077192,-0.092082,-0.107552,-0.122872,-0.138202,-0.153732,-0.168622,-0.181432,-0.193452,-0.204542,-0.215732,-0.227042,-0.238312,-0.248692,-0.260112,0.062566,0.066846,0.071536,0.078556,0.086306,0.091506,0.098566,0.107806,0.115596,0.122086,0.127106,0.128696,0.125476,0.120646,0.114686,0.105796,0.096376,0.085236,0.074446,0.061246,0.048016,0.033156,0.018016,0.003916,-0.008804,-0.019764,-0.030904,-0.042284,-0.052554,-0.060014,-0.064944,-0.071094,-0.077214,-0.082914,-0.085664,-0.086724,-0.086374,-0.086374,-0.086374,-0.085964,-0.087094,-0.091004,-0.096804,-0.103424,-0.110994,-0.119164,-0.127454,-0.136054,-0.144234
533.500000,0.241821,0.230291,0.218971,0.207771,0.196471,0.185061,0.173161,0.161421,0.149901,0.137561,0.123571,0.108881,0.094931,0.081971,0.070161,0.059811,0.052551,0.047511,0.043531,0.039241,0.034811,0.032001,0.031271,0.030701,0.027361,0.021041,0.012241,0.002141,-0.008519,-0.019549,-0.029769,-0.039989,-0.050829,-0.062399,-0.074589,-0.088889,-0.104599,-0.119969,-0.135329,-0.150949,-0.165449,-0.178799,-0.191659,-0.204959,-0.217059,-0.227169,-0.236479,-0.247269,-0.261919,0.065568,0.071808,0.073508,0.079218,0.088248,0.094938,0.101308,0.110558,0.119848,0.127128,0.131148,0.131108,0.127148,0.120308,0.112168,0.102348,0.091508,0.078998,0.066988,0.053988,0.040468,0.025358,0.009968,-0.004562,-0.016262,-0.026042,-0.036452,-0.046762,-0.054292,-0.058752,-0.063522,-0.069492,-0.075192,-0.079812,-0.082782,-0.083842,-0.083492,-0.083492,-0.083492,-0.082862,-0.084942,-0.089812,-0.095862,-0.101342,-0.107702,-0.115562,-0.125332,-0.134712,-0.137262
533.530000,0.245655,0.233385,0.220015,0.206545,0.194195,0.182855,0.171675,0.160115,0.147795,0.134495,0.119695,0.104825,0.090855,0.077595,0.066905,0.058295,0.053775,0.050355,0.047245,0.041875,0.037675,0.034665,0.032925,0.030635,0.026615,0.019655,0.012405,0.002925,-0.007855,-0.018755,-0.028165,-0.038905,-0.050255,-0.062085,-0.075685,-0.090945,-0.106585,-0.122065,-0.137915,-0.152135,-0.165285,-0.177715,-0.191365,-0.203225,-0.214715,-0.225005,-0.234695,-0.244145,-0.258145,0.067082,0.074842,0.079962,0.085342,0.090912,0.098102,0.106522,0.116422,0.124442,0.129972,0.131082,0.129032,0.124692,0.118422,0.109832,0.101102,0.090172,0.078442,0.064822,0.051332,0.036172,0.021352,0.006292,-0.007718,-0.019038,-0.028858,-0.039138,-0.047738,-0.053498,-0.058858,-0.064728,-0.069488,-0.073418,-0.077898,-0.080968,-0.082028,-0.081678,-0.081678,-0.081328,-0.082378,-0.085208,-0.090578,-0.096038,-0.102788,-0.110108,-0.119148,-0.129328,-0.137238,-0.135488
533.570000,0.247338,0.232748,0.219848,0.208398,0.197178,0.184468,0.172158,0.160538,0.149018,0.136408,0.121978,0.106758,0.093268,0.082578,0.073028,0.063478,0.053288,0.045538,0.039868,0.037218,0.036188,0.037098,0.034628,0.029738,0.023868,0.018358,0.009908,-0.000982,-0.010712,-0.019762,-0.029422,-0.040402,-0.052202,-0.064122,-0.077252,-0.091102,-0.106622,-0.121782,-0.137072,-0.152082,-0.165382,-0.177552,-0.190332,-0.202342,-0.213242,-0.224272,-0.235662,-0.246022,-0.256582,0.070488,0.073148,0.076098,0.082228,0.089748,0.096168,0.103068,0.111628,0.120418,0.126598,0.129068,0.127298,0.124448,0.119478,0.113268,0.104188,0.093078,0.080188,0.066938,0.052788,0.038098,0.022628,0.008148,-0.006002,-0.018412,-0.029292,-0.039542,-0.048022,-0.055302,-0.060882,-0.066332,-0.070592,-0.074882,-0.079202,-0.081782,-0.082942,-0.082592,-0.082592,-0.082472,-0.082472,-0.084672,-0.089342,-0.094492,-0.100422,-0.107882,-0.116362,-0.124472,-0.131892,-0.136332
533.600000,0.247508,0.232788,0.219498,0.207918,0.198028,0.186748,0.175348,0.163608,0.152038,0.139948,0.126438,0.111988,0.097348,0.084538,0.074038,0.065078,0.054828,0.047418,0.043528,0.041148,0.036358,0.033628,0.031478,0.029358,0.025318,0.020348,0.012268,0.002318,-0.008842,-0.019222,-0.029622,-0.041442,-0.054122,-0.066812,-0.080082,-0.095252,-0.110802,-0.126202,-0.141962,-0.156092,-0.169182,-0.181592,-0.194072,-0.205462,-0.216352,-0.226432,-0.235642,-0.245202,-0.256482,0.070802,0.073242,0.076742,0.081402,0.087792,0.093492,0.101892,0.111412,0.120092,0.125712,0.128522,0.127762,0.124792,0.119602,0.112522,0.102542,0.091482,0.078582,0.064662,0.050272,0.036862,0.022392,0.008512,-0.004568,-0.015768,-0.026318,-0.036658,-0.046338,-0.053268,-0.058038,-0.063278,-0.069048,-0.073998,-0.078618,-0.081618,-0.082678,-0.082328,-0.082328,-0.081978,-0.083028,-0.085778,-0.091508,-0.097578,-0.102918,-0.107478,-0.114488,-0.123608,-0.131888,-0.136008
533.630000,0.250349,0.236229,0.221249,0.207899,0.196429,0.185489,0.173769,0.161939,0.150609,0.138039,0.123869,0.108809,0.094489,0.081999,0.069919,0.059199,0.049939,0.044979,0.041349,0.037769,0.032089,0.028339,0.027469,0.026449,0.022219,0.015479,0.009509,0.001129,-0.008321,-0.018621,-0.028211,-0.039331,-0.050131,-0.061341,-0.074071,-0.088691,-0.103891,-0.119201,-0.134451,-0.149851,-0.164791,-0.178531,-0.190311,-0.202401,-0.213861,-0.225191,-0.235901,-0.248331,-0.261581,0.072680,0.075030,0.076490,0.079700,0.084060,0.089590,0.096490,0.105290,0.114560,0.121790,0.126100,0.126300,0.123430,0.118380,0.112020,0.103100,0.092770,0.080630,0.067610,0.052950,0.039160,0.024960,0.009870,-0.004280,-0.016270,-0.025610,-0.035940,-0.044700,-0.052500,-0.058090,-0.063530,-0.067590,-0.072130,-0.077540,-0.082140,-0.084160,-0.084310,-0.084170,-0.084170,-0.083820,-0.084590,-0.088740,-0.095120,-0.100420,-0.105590,-0.112720,-0.121690,-0.129350,-0.133780
533.670000,0.251836,0.236396,0.220966,0.207386,0.195536,0.184986,0.174086,0.163376,0.152816,0.141766,0.128496,0.113866,0.099466,0.086436,0.074746,0.064036,0.054686,0.047516,0.042846,0.038216,0.033116,0.029406,0.028846,0.028346,0.025036,0.017406,0.008256,-0.001494,-0.011054,-0.021984,-0.032934,-0.043534,-0.054494,-0.065344,-0.077684,-0.091754,-0.107604,-0.123034,-0.138474,-0.154164,-0.169164,-0.181104,-0.190894,-0.201954,-0.213774,-0.225164,-0.236024,-0.248114,-0.260134,0.076604,0.076184,0.077024,0.080014,0.084324,0.089264,0.096514,0.104314,0.111474,0.117504,0.123434,0.125264,0.122844,0.118174,0.113834,0.107104,0.096384,0.083114,0.069404,0.055164,0.042014,0.028974,0.014474,-0.000126,-0.013016,-0.024516,-0.036536,-0.046676,-0.054546,-0.059506,-0.064466,-0.070266,-0.075726,-0.080566,-0.083576,-0.084936,-0.084526,-0.084526,-0.084526,-0.084056,-0.085336,-0.090006,-0.096266,-0.100986,-0.106476,-0.114136,-0.123316,-0.130636,-0.134176
