t_ms,seg00,seg01,seg02,seg03,seg04,seg05,seg06,seg07,seg08,seg09,seg10,seg11,seg12,seg13,seg14,seg15,seg16,seg17,seg18,seg19,seg20,seg21,seg22,seg23
0.000,-1.336717,-1.072258,-1.013034,-0.995876,-0.896610,-0.907693,-0.922460,-0.915264,-0.767190,-0.560637,-0.255850,0.001362,0.218900,0.397200,0.600407,0.714363,0.860511,0.940885,0.994164,0.938629,0.973297,1.003218,0.935722,0.780284
34.425,-1.399232,-1.071114,-0.982731,-0.964444,-0.866290,-0.885942,-0.910440,-0.928191,-0.795818,-0.619609,-0.332819,-0.079091,0.142849,0.322987,0.531016,0.661364,0.827800,0.931184,1.006752,0.957654,0.991355,1.027163,0.977223,0.834818
68.850,-0.983064,-0.881852,-0.896639,-0.914966,-0.892302,-0.934695,-0.976578,-0.965450,-0.831577,-0.618655,-0.338143,-0.096690,0.120885,0.316021,0.519471,0.653395,0.828893,0.937224,0.983191,0.949280,1.012380,1.054765,0.974214,0.812613
103.274,-0.820201,-0.715534,-0.736726,-0.782312,-0.819071,-0.888102,-0.965016,-0.991088,-0.904102,-0.742871,-0.519133,-0.306075,-0.084721,0.119090,0.322570,0.495191,0.721030,0.886828,0.959568,0.966150,1.045138,1.109855,1.053213,0.910021
137.699,-0.788940,-0.757629,-0.800762,-0.836890,-0.856605,-0.923125,-0.984873,-0.983250,-0.864851,-0.665056,-0.411684,-0.185367,0.027005,0.227719,0.429104,0.577473,0.773862,0.905440,0.958895,0.940007,1.022192,1.075225,0.997863,0.845781
172.124,-0.841633,-0.814653,-0.853605,-0.877861,-0.874060,-0.933936,-0.983126,-0.969132,-0.832482,-0.615570,-0.343422,-0.107694,0.099708,0.295364,0.495553,0.628024,0.804176,0.913568,0.959624,0.923657,1.002289,1.047225,0.962638,0.808268
206.549,-0.576393,-0.656030,-0.749087,-0.801589,-0.855257,-0.931222,-1.000010,-0.982942,-0.864538,-0.648159,-0.401069,-0.185027,0.019709,0.222915,0.417514,0.562795,0.757575,0.887277,0.925263,0.915201,1.012595,1.069338,0.978799,0.821503
240.973,-0.558767,-0.652816,-0.751070,-0.804429,-0.860491,-0.938470,-1.007503,-0.988250,-0.867340,-0.647126,-0.397982,-0.180582,0.024159,0.228737,0.424074,0.568985,0.763627,0.892375,0.928859,0.916844,1.015925,1.072074,0.978865,0.820111
275.398,-0.481311,-0.573164,-0.671220,-0.733291,-0.810316,-0.900181,-0.983033,-0.979886,-0.879078,-0.683974,-0.463307,-0.262289,-0.062975,0.139765,0.330503,0.486759,0.696621,0.845641,0.894808,0.899712,1.007522,1.073687,0.993711,0.849693
309.823,-0.337076,-0.492464,-0.617274,-0.692148,-0.798492,-0.903069,-0.997352,-0.994713,-0.900098,-0.705685,-0.497722,-0.304636,-0.108179,0.099448,0.289055,0.452473,0.673258,0.833526,0.882424,0.895343,1.016050,1.087744,1.004866,0.862621
344.248,-0.625073,-0.610362,-0.659192,-0.708686,-0.762479,-0.850147,-0.933442,-0.954230,-0.866241,-0.704723,-0.499775,-0.303826,-0.107561,0.085976,0.275261,0.435915,0.649905,0.808483,0.880261,0.887780,0.988150,1.057514,1.000807,0.876909
378.673,-0.652494,-0.600319,-0.637230,-0.686396,-0.737334,-0.819243,-0.903340,-0.930760,-0.853672,-0.705829,-0.511883,-0.324360,-0.130417,0.057483,0.241940,0.403511,0.617828,0.780354,0.855970,0.873622,0.970594,1.043492,0.995910,0.878175
413.097,-0.420534,-0.542218,-0.649794,-0.713729,-0.797355,-0.893688,-0.979013,-0.974314,-0.872794,-0.676759,-0.460848,-0.263851,-0.070738,0.130371,0.318051,0.471968,0.679908,0.827861,0.876765,0.881481,0.995905,1.063346,0.982506,0.843060
