t_ms,a0,a1,a2,a3
0.0000,0.0000000,0.0000000,0.0000000,0.0000000
0.5000,-0.0000000,-0.0000000,0.0000000,-0.0000000
1.0000,0.0002556,0.0001471,-0.0000822,-0.0000489
1.5000,0.0010924,0.0006403,-0.0003610,-0.0002189
2.0000,0.0028766,0.0017193,-0.0009126,-0.0006231
2.5000,0.0055768,0.0034575,-0.0015851,-0.0013876
3.0000,0.0087134,0.0056560,-0.0022137,-0.0025192
3.5000,0.0118833,0.0080074,-0.0028302,-0.0038064
4.0000,0.0148252,0.0102893,-0.0034950,-0.0050149
4.5000,0.0173781,0.0123263,-0.0042064,-0.0059959
5.0000,0.0193966,0.0139167,-0.0048640,-0.0066753
5.5000,0.0207356,0.0149386,-0.0053251,-0.0070613
6.0000,0.0214229,0.0154602,-0.0055488,-0.0072351
6.5000,0.0216409,0.0156420,-0.0056016,-0.0072825
7.0000,0.0215786,0.0156202,-0.0055671,-0.0072572
7.5000,0.0213671,0.0154841,-0.0054968,-0.0071894
8.0000,0.0210831,0.0152889,-0.0054141,-0.0070980
8.5000,0.0207673,0.0150658,-0.0053279,-0.0069947
9.0000,0.0204396,0.0148313,-0.0052413,-0.0068862
9.5000,0.0201095,0.0145934,-0.0051555,-0.0067761
10.0000,0.0197811,0.0143559,-0.0050707,-0.0066661
10.5000,0.0194562,0.0141207,-0.0049871,-0.0065570
11.0000,0.0191359,0.0138884,-0.0049049,-0.0064493
11.5000,0.0188204,0.0136596,-0.0048240,-0.0063431
12.0000,0.0185098,0.0134342,-0.0047443,-0.0062385
12.5000,0.0182042,0.0132125,-0.0046660,-0.0061355
13.0000,0.0179035,0.0129943,-0.0045889,-0.0060342
13.5000,0.0176077,0.0127796,-0.0045131,-0.0059345
14.0000,0.0173169,0.0125685,-0.0044386,-0.0058365
14.5000,0.0170308,0.0123608,-0.0043653,-0.0057401
15.0000,0.0167493,0.0121566,-0.0042931,-0.0056452
15.5000,0.0164726,0.0119558,-0.0042222,-0.0055520
16.0000,0.0162004,0.0117582,-0.0041525,-0.0054602
16.5000,0.0159327,0.0115639,-0.0040838,-0.0053700
17.0000,0.0156694,0.0113728,-0.0040164,-0.0052813
17.5000,0.0154105,0.0111849,-0.0039500,-0.0051940
18.0000,0.0151558,0.0110000,-0.0038848,-0.0051082
